100
1005 284
895 611
883 992
721 1459
795 1834
1141 2249
1017 2779
951 3224
672 3547
764 3919
1311 4460
1118 4944
1011 5253
840 5647
1073 6174
1147 6499
946 6858
1063 7156
919 7550
857 7965
1127 8354
1055 8771
946 9086
1290 9480
1038 9792
4000 0
3963 436
3883 832
3693 1108
3882 1513
3912 1967
3923 2295
4017 2875
3757 3174
4107 3552
4316 3988
3900 4558
3425 4987
4188 5323
3937 5693
3974 6038
4107 6397
3944 7038
3596 7153
3913 7501
4074 7842
3927 8201
3897 8625
3865 9010
3713 9559
3738 9898
6156 45
6016 337
6049 766
6005 1093
6111 1505
6001 1813
5911 2424
6230 2841
5996 3183
6107 3512
5886 3950
6053 4594
5644 4916
5893 5197
6079 5567
5984 6028
6002 6386
6073 6774
6144 7172
6104 7552
5922 7910
6008 8355
6079 8796
6269 9163
6140 9608
6094 9973
9946 127
9601 451
9880 780
9962 1155
9905 1834
9900 2186
9995 2530
9703 2856
9902 3213
9835 3539
9830 3850
9851 4522
9905 4914
9932 5223
9821 5571
9654 5900
9760 6430
9912 6754
9771 7229
9949 7490
9828 8012
9792 8431
9834 8891
