100
0	400
0	800
0	1200
0	1600
0	2000
0	2400
0	2800
0	3200
0	3600
0	4000
0	4400
0	4800
0	5200
0	5600
0	6000
0	6400
0	6800
0	7200
0	7600
0	8000
0	8400
0	8800
0	9200
0	9600
0	9999
4000	0
4000	400
4000	800
4000	1200
4000	1600
4000	2000
4000	2400
4000	2800
4000	3200
4000	3600
4000	4000
4000	4400
4000	4800
4000	5200
4000	5600
4000	6000
4000	6400
4000	6800
4000	7200
4000	7600
4000	8000
4000	8400
4000	8800
4000	9200
4000	9600
4000	9999
6000	0
6000	400
6000	800
6000	1200
6000	1600
6000	2000
6000	2400
6000	2800
6000	3200
6000	3600
6000	4000
6000	4400
6000	4800
6000	5200
6000	5600
6000	6000
6000	6400
6000	6800
6000	7200
6000	7600
6000	8000
6000	8400
6000	8800
6000	9200
6000	9600
6000	9999
9999	0
9999	400
9999	800
9999	1200
9999	1600
9999	2000
9999	2400
9999	2800
9999	3200
9999	3600
9999	4000
9999	4400
9999	4800
9999	5200
9999	5600
9999	6000
9999	6400
9999	6800
9999	7200
9999	7600
9999	8000
9999	8400
9999	8800
