0,4652,0
0,3784,1
0,3613,10
0,3566,86
1,3526,411
1,3426,651
1,3018,675
10,2780,7361
14,2763,11083
130,2711,106221
145,2678,118483
325,2624,263685

0,4669,0
0,4560,1
0,4355,2
0,4109,4
0,4006,10
0,3560,18
0,3556,32
0,3328,178
2,3320,1810
2,3143,2124
4,2956,3808
8,2713,7833
107,2542,98865

0,4321,0
0,4237,3
0,3873,10
0,3730,18
0,3559,33
0,3461,61
0,3412,424
1,3224,1380
1,3000,1483
23,2985,21372
42,2896,38826
58,2872,53589
71,2819,65377
97,2627,89431
540,2506,490084

0,4920,0
0,4355,1
0,4215,4
0,3955,6
0,3864,20
0,3609,56
0,3569,88
0,3474,139
0,3381,194
0,3375,556
1,3306,1200
1,3208,1240
5,2965,4285
20,2823,15562
138,2703,108842
514,2613,411970
0,5237,0
0,4560,1
0,4012,2
0,3734,3
0,3699,44
0,3506,146
0,3487,169
0,3368,441
0,3262,677
3,3208,3041
3,3183,3207
3,2757,3417
208,2693,185933
429,2656,374499
0,5609,0
0,4208,1
0,3914,4
0,3382,6
0,3087,109
10,3027,9693
14,2993,13146
24,2845,22909
65,2838,60093
77,2760,71756
88,2735,82280
140,2655,130550
463,2607,430985
0,5245,0
0,4854,1
0,4298,2
0,4280,8
0,3556,11
0,3301,258
1,3237,1097
2,3199,1931
10,3194,8832
11,3159,9951
11,2979,10123
11,2829,10318
48,2768,42981
86,2698,77338
547,2634,485835
0,4377,0
0,4204,3
0,4042,5
0,3915,27
0,3898,29
0,3829,85
0,3226,106
1,3102,1724
8,2931,7618
53,2864,45614
92,2739,77280
110,2672,92021
244,2649,210278
333,2520,289208
